{0: [32, 788, 24.625], 1: [48, 1213, 25.270833333333332], 2: [5, 111, 22.2], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [32, 788, 24.625], 1: [49, 1260, 25.714285714285715], 2: [5, 111, 22.2], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [33, 823, 24.939393939393938], 1: [49, 1260, 25.714285714285715], 2: [5, 111, 22.2], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [33, 823, 24.939393939393938], 1: [49, 1260, 25.714285714285715], 2: [6, 145, 24.166666666666668], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [33, 823, 24.939393939393938], 1: [50, 1290, 25.8], 2: [6, 145, 24.166666666666668], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [34, 848, 24.941176470588236], 1: [50, 1290, 25.8], 2: [6, 145, 24.166666666666668], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [34, 848, 24.941176470588236], 1: [51, 1310, 25.686274509803923], 2: [6, 145, 24.166666666666668], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [34, 848, 24.941176470588236], 1: [51, 1310, 25.686274509803923], 2: [7, 161, 23.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [34, 848, 24.941176470588236], 1: [52, 1342, 25.807692307692307], 2: [7, 161, 23.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [35, 878, 25.085714285714285], 1: [52, 1342, 25.807692307692307], 2: [7, 161, 23.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [36, 906, 25.166666666666668], 1: [52, 1342, 25.807692307692307], 2: [7, 161, 23.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [36, 906, 25.166666666666668], 1: [53, 1368, 25.81132075471698], 2: [7, 161, 23.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [36, 906, 25.166666666666668], 1: [54, 1393, 25.796296296296298], 2: [7, 161, 23.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [36, 906, 25.166666666666668], 1: [55, 1427, 25.945454545454545], 2: [7, 161, 23.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [36, 906, 25.166666666666668], 1: [56, 1457, 26.017857142857142], 2: [7, 161, 23.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [37, 928, 25.08108108108108], 1: [56, 1457, 26.017857142857142], 2: [7, 161, 23.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [38, 949, 24.973684210526315], 1: [56, 1457, 26.017857142857142], 2: [7, 161, 23.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [39, 970, 24.871794871794872], 1: [56, 1457, 26.017857142857142], 2: [7, 161, 23.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [40, 987, 24.675], 1: [56, 1457, 26.017857142857142], 2: [7, 161, 23.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [40, 987, 24.675], 1: [56, 1457, 26.017857142857142], 2: [8, 176, 22.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [41, 1002, 24.4390243902439], 1: [56, 1457, 26.017857142857142], 2: [8, 176, 22.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [42, 1031, 24.547619047619047], 1: [56, 1457, 26.017857142857142], 2: [8, 176, 22.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [42, 1031, 24.547619047619047], 1: [56, 1457, 26.017857142857142], 2: [8, 176, 22.0], 3: [1, 22, 22.0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [42, 1031, 24.547619047619047], 1: [56, 1457, 26.017857142857142], 2: [9, 191, 21.22222222222222], 3: [1, 22, 22.0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [43, 1045, 24.302325581395348], 1: [56, 1457, 26.017857142857142], 2: [9, 191, 21.22222222222222], 3: [1, 22, 22.0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [44, 1089, 24.75], 1: [56, 1457, 26.017857142857142], 2: [9, 191, 21.22222222222222], 3: [1, 22, 22.0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [44, 1089, 24.75], 1: [56, 1457, 26.017857142857142], 2: [10, 229, 22.9], 3: [1, 22, 22.0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [44, 1089, 24.75], 1: [56, 1457, 26.017857142857142], 2: [10, 229, 22.9], 3: [2, 55, 27.5], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [45, 1119, 24.866666666666667], 1: [56, 1457, 26.017857142857142], 2: [10, 229, 22.9], 3: [2, 55, 27.5], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [45, 1119, 24.866666666666667], 1: [57, 1486, 26.07017543859649], 2: [10, 229, 22.9], 3: [2, 55, 27.5], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
